"OCCUPANCY_DATE","PROGRAM_MODEL","CAPACITY_TYPE","OCCUPANCY_RATE_ROOMS","OCCUPANCY_RATE_BEDS","month"
2023-01-06,"Emergency","Bed Based Capacity",NA,98.48,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,97.3,2023-01-01
2023-01-06,"Emergency","Room Based Capacity",96.15,NA,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,90,2023-01-01
2023-01-06,"Emergency","Bed Based Capacity",NA,95.65,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-06,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",91.67,NA,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,97.14,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",98.51,NA,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,95.45,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",84,NA,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,98.92,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,98.04,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,95.31,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,96.67,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",92.52,NA,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,76,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,96.43,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,98.25,2023-01-01
2023-01-07,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,96.67,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-07,"Emergency","Room Based Capacity",99.22,NA,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-07,"Emergency","Bed Based Capacity",NA,95,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-07,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",99.31,NA,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",91.67,NA,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",98.8,NA,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,97.14,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",98.51,NA,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,93.18,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",97.06,NA,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,98.92,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,98.77,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,93.33,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,98.72,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,98.31,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",91.84,NA,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,72,2023-01-01
2023-01-08,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,96.88,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,95.45,2023-01-01
2023-01-08,"Emergency","Room Based Capacity",99.22,NA,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-08,"Emergency","Bed Based Capacity",NA,95,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-08,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",91.67,NA,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",98.8,NA,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",94.87,NA,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",98.51,NA,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,93.18,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,98.92,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,97.06,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,96.67,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",93.75,NA,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,97.44,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,96.61,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",91.84,NA,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,94,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,97.3,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,96.15,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,98.28,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,72,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,98.25,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,98.68,2023-01-01
2023-01-09,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,95.65,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-09,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,98.08,2023-01-01
2023-01-09,"Emergency","Bed Based Capacity",NA,95,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-09,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",98.44,NA,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",98.51,NA,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,98.04,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,98.33,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,97.1,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",95.31,NA,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,50,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,98.31,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,98,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",91.84,NA,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,96,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,98.48,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,72,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,99.06,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,96.49,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,97.37,2023-01-01
2023-01-10,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,94,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-10,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,97.96,2023-01-01
2023-01-10,"Emergency","Bed Based Capacity",NA,95,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,85.71,2023-01-01
2023-01-10,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,97.44,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",98.44,NA,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",94.74,NA,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",98.51,NA,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,93.18,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,96.08,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,97.18,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,96.67,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",96.88,NA,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,98.72,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",91.84,NA,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",98.89,NA,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,96,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,80,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,90.91,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,72,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,97.14,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,97.32,2023-01-01
2023-01-11,"Transitional","Room Based Capacity",100,NA,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,76.47,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,63.64,2023-01-01
2023-01-11,"Emergency","Room Based Capacity",92.86,NA,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,95,2023-01-01
2023-01-11,"Emergency","Bed Based Capacity",NA,96.3,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,92.86,2023-01-01
2023-01-11,"Transitional","Bed Based Capacity",NA,84.62,2023-01-01
2023-01-12,"Emergency","Room Based Capacity",100,NA,2023-01-01
2023-01-12,"Emergency","Bed Based Capacity",NA,100,2023-01-01
2023-01-12,"Emergency","Room Based Capacity",99.32,NA,2023-01-01
2023-01-12,"Emergency","Room Based Capacity",98.44,NA,2023-01-01
2023-01-12,"Transitional","Bed Based Capacity",NA,100,2023-01-01
2023-01-12,"Emergency","Room Based Capacity",99.01,NA,2023-01-01
2023-01-12,"Emergency","Room Based Capacity",98.51,NA,2023-01-01
2023-01-12,"Transitional","Bed Based Capacity",NA,93.18,2023-01-01
2023-01-12,"Transitional","Bed Based Capacity",NA,98.92,2023-01-01
2023-01-12,"Emergency","Bed Based Capacity",NA,98.59,2023-01-01
2023-01-12,"Emergency","Bed Based Capacity",NA,98.72,2023-01-01
2023-01-12,"Emergency","Bed Based Capacity",NA,98.39,2023-01-01
2023-01-12,"Emergency","Bed Based Capacity",NA,96,2023-01-01
